Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
F1,ASMD1206-150,Fuse_0603_1608Metric,71.066431,-75.702691,-90.0,bottom
F1,ASMD1206-150,Fuse_0603_1608Metric,71.066431,-86.767691,-90.0,bottom
F1,ASMD1206-150,Fuse_0603_1608Metric,71.066431,-53.572691,-90.0,bottom
F1,ASMD1206-150,Fuse_0603_1608Metric,71.066431,-64.637691,-90.0,bottom
F1,ASMD1206-150,Fuse_0603_1608Metric,71.066431,-42.507691,-90.0,bottom
J1,HRO-TYPE-C-31-M-12-Assembly,HRO-TYPE-C-31-M-12-Assembly,78.781431,-92.917691,180.0,bottom
J1,HRO-TYPE-C-31-M-12-Assembly,HRO-TYPE-C-31-M-12-Assembly,78.773326,-81.790296,180.0,bottom
J1,HRO-TYPE-C-31-M-12-Assembly,HRO-TYPE-C-31-M-12-Assembly,78.781431,-70.787691,180.0,bottom
J1,HRO-TYPE-C-31-M-12-Assembly,HRO-TYPE-C-31-M-12-Assembly,78.781431,-59.722691,180.0,bottom
J1,HRO-TYPE-C-31-M-12-Assembly,HRO-TYPE-C-31-M-12-Assembly,78.781431,-48.657691,180.0,bottom
J2,SM04B-SRSS-TB(LF)(SN),JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,64.681431,-76.732691,0.0,bottom
J2,SM04B-SRSS-TB(LF)(SN),JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,64.681431,-43.537691,0.0,bottom
J2,SM04B-SRSS-TB(LF)(SN),JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,64.681431,-54.602691,0.0,bottom
J2,SM04B-SRSS-TB(LF)(SN),JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,64.681431,-65.667691,0.0,bottom
J2,SM04B-SRSS-TB(LF)(SN),JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,64.681431,-87.797691,0.0,bottom
L1,60R@100MHz,L_0603_1608Metric,69.468931,-64.634691,-90.0,bottom
L1,60R@100MHz,L_0603_1608Metric,69.468931,-75.699691,-90.0,bottom
L1,60R@100MHz,L_0603_1608Metric,69.468931,-53.569691,-90.0,bottom
L1,60R@100MHz,L_0603_1608Metric,69.468931,-42.504691,-90.0,bottom
L1,60R@100MHz,L_0603_1608Metric,69.468931,-86.764691,-90.0,bottom
R1,5.1k,R_0402_1005Metric,85.368931,-40.964691,0.0,bottom
R1,5.1k,R_0402_1005Metric,85.368931,-52.029691,0.0,bottom
R1,5.1k,R_0402_1005Metric,85.368931,-63.094691,0.0,bottom
R1,5.1k,R_0402_1005Metric,85.368931,-85.224691,0.0,bottom
R1,5.1k,R_0402_1005Metric,85.368931,-74.159691,0.0,bottom
R2,5.1k,R_0402_1005Metric,72.591431,-75.139691,90.0,bottom
R2,5.1k,R_0402_1005Metric,72.591431,-86.204691,90.0,bottom
R2,5.1k,R_0402_1005Metric,72.591431,-41.944691,90.0,bottom
R2,5.1k,R_0402_1005Metric,72.591431,-53.009691,90.0,bottom
R2,5.1k,R_0402_1005Metric,72.591431,-64.074691,90.0,bottom
U1,USBLC6-2SC6,SOT-23-6,70.988931,-68.184691,180.0,bottom
U1,USBLC6-2SC6,SOT-23-6,70.988931,-57.119691,180.0,bottom
U1,USBLC6-2SC6,SOT-23-6,70.988931,-46.054691,180.0,bottom
U1,USBLC6-2SC6,SOT-23-6,70.988931,-79.249691,180.0,bottom
U1,USBLC6-2SC6,SOT-23-6,70.988931,-90.314691,180.0,bottom
